,iso3,year,le_f,country_sp,fem_pop,mmr,gpi,femicides_number
164,VEN,2012,77.4163,Venezuela,14786972.0,116.0,2.304,0
165,ARG,2013,79.9265,Argentina,21332490.0,44.0,1.972,0
166,ATG,2013,80.2303,Antigua y Barbuda,46401.0,43.0,0,0
167,BHS,2013,76.2946,Bahamas,199843.0,78.0,0,0
168,BLZ,2013,76.2657,Belice,171620.0,48.0,0,0
169,BOL,2013,69.6628,Bolivia,5335470.0,184.0,1.997,0
170,BRA,2013,77.1195,Brasil,102366379.0,61.0,2.019,0
171,BRB,2013,78.2127,Barbados,144561.0,32.0,0,0
172,CHL,2013,82.0335,Chile,8821764.0,16.0,1.621,0
173,COL,2013,78.9723,Colombia,23387544.0,85.0,2.57,0
174,CRI,2013,81.7624,Costa Rica,2387107.0,29.0,1.788,18.0
175,CUB,2013,80.1573,Cuba,5674433.0,40.0,2.073,0
176,DMA,2013,71.3096,Dominica,34077.0,0,0,3.0
177,DOM,2013,76.3222,República Dominicana,5030991.0,94.0,2.059,160.0
178,ECU,2013,78.9974,Ecuador,7859194.0,67.0,2.026,0
179,GRD,2013,77.9028,Granada,58047.0,27.0,0,0
180,GTM,2013,74.9274,Guatemala,7590464.0,113.0,2.203,246.0
181,GUY,2013,71.1183,Guyana,377010.0,175.0,1.967,0
182,HND,2013,74.4967,Honduras,4429055.0,69.0,2.14,408.0
183,HTI,2013,65.2107,Haití,5162748.0,496.0,1.926,0
184,JAM,2013,74.555,Jamaica,1397059.0,79.0,2.046,0
185,KNA,2013,75.196,Saint Kitts y Nevis,24339.0,0,0,0
186,LCA,2013,75.7814,Santa Lucía,87284.0,108.0,0,0.0
187,MEX,2013,77.7058,México,59862821.0,39.0,2.381,0
188,NIC,2013,75.7627,Nicaragua,3104267.0,105.0,1.887,0
189,PAN,2013,80.138,Panamá,1906929.0,66.0,1.801,0
190,PER,2013,77.0826,Perú,15143939.0,98.0,2.001,111.0
191,PRY,2013,75.4895,Paraguay,2984194.0,94.0,2.065,25.0
192,SLV,2013,76.1583,El Salvador,3229694.0,50.0,2.148,0
193,SUR,2013,73.176,Suriname,281345.0,129.0,0,0
194,TTO,2013,77.0691,Trinidad y Tobago,730188.0,70.0,2.031,12.0
195,URY,2013,81.2801,Uruguay,1749192.0,18.0,1.622,23.0
196,VCT,2013,76.5477,San Vicente y las Granadinas,52397.0,73.0,0,0
197,VEN,2013,77.3229,Venezuela,14978971.0,115.0,2.287,0
198,ARG,2014,80.0035,Argentina,21562981.0,42.0,1.882,225.0
199,ATG,2014,80.5354,Antigua y Barbuda,46748.0,42.0,0,0
200,BHS,2014,76.639,Bahamas,201821.0,77.0,0,0
201,BLZ,2014,76.3414,Belice,175274.0,46.0,0,0
202,BOL,2014,69.771,Bolivia,5423617.0,175.0,1.951,0
203,BRA,2014,77.4319,Brasil,103274465.0,62.0,2.09,0
204,BRB,2014,78.4364,Barbados,144824.0,31.0,0,0
205,CHL,2014,82.1452,Chile,8911559.0,15.0,1.591,0
206,COL,2014,79.1389,Colombia,23617367.0,85.0,2.601,0
207,CRI,2014,81.2361,Costa Rica,2414032.0,29.0,1.751,24.0
208,CUB,2014,80.1661,Cuba,5681712.0,39.0,2.05,0
209,DMA,2014,72.1177,Dominica,34444.0,0,0,0
210,DOM,2014,76.3961,República Dominicana,5096363.0,94.0,2.029,188.0
211,ECU,2014,79.1243,Ecuador,7976779.0,65.0,1.99,27.0
212,GRD,2014,78.0045,Granada,58606.0,26.0,0,0
213,GTM,2014,75.1003,Guatemala,7723659.0,107.0,2.064,214.0
214,GUY,2014,71.316,Guyana,380184.0,174.0,1.985,0
215,HND,2014,74.6319,Honduras,4512235.0,68.0,2.103,290.0
216,HTI,2014,65.6837,Haití,5240216.0,492.0,2.018,0
217,JAM,2014,74.2101,Jamaica,1402227.0,78.0,2.014,0
218,KNA,2014,74.9284,Saint Kitts y Nevis,24387.0,0,0,0
219,LCA,2014,76.1044,Santa Lucía,87752.0,104.0,0,0.0
220,MEX,2014,77.7819,México,60610526.0,38.0,2.291,0
221,NIC,2014,75.8224,Nicaragua,3149486.0,103.0,1.86,0
222,PAN,2014,80.2994,Panamá,1940824.0,60.0,1.844,34.0
223,PER,2014,77.4318,Perú,15312249.0,96.0,1.956,100.0
224,PRY,2014,75.6679,Paraguay,3027162.0,91.0,1.988,32.0
225,SLV,2014,76.2671,El Salvador,3242771.0,49.0,2.087,121.0
226,SUR,2014,73.1973,Suriname,284406.0,124.0,0,0
227,TTO,2014,77.4069,Trinidad y Tobago,735428.0,69.0,2.002,15.0
228,URY,2014,81.3598,Uruguay,1754081.0,17.0,1.629,18.0
229,VCT,2014,77.4275,San Vicente y las Granadinas,52139.0,69.0,0,0
230,VEN,2014,77.0745,Venezuela,15164502.0,113.0,2.448,74.0
231,ARG,2015,80.1877,Argentina,21791541.0,41.0,1.929,235.0
